Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Overperforming Score
משרד הבריאות,Health.gov.il,1.48E+14,287453,2020-02-01 22:00:34 EET,Photo,750,1092,1968,4,71,3,13,127,0,,0,0,0,N/A,https://www.facebook.com/Health.gov.il/posts/2558713244240571,"אזהרה לציבור❗️ חברת ""סלטי שמיר"" מודיעה על איסוף מוצרים המיוצרים על ידה. במסגרת בדיקות האיכות השגרתיות שעורכת החברה במפעליה, התגלו מספר מוצרים עם חשד להימצאות חיידק ליסטריה מונוציטוגנס ,מוצרים אלו נחסמו טרם שיווקם ולא יצאו לשיווק. חיידק ליסטריה מונוציטוגנס עלול לגרום מחלה באוכלוסייה בסיכון גבוה, כגון בעלי מערכת חיסונית מוחלשת, קשישים או לגרום להפלות בנשים הרות. בדיקות נוספות שנעשו על ידי החברה על מוצרים אחרים מאותם ימי ייצור יצאו תקינות. כנוהל עבודה לא משווקת חברת שמיר מוצרים לשוק עד שלא קיבלה החברה אישור ממעבדה חיצונית על תקינות המוצרים וכך פעלה גם במקרה זה. יחד עם זאת, כחברה אחראית, החליטה חברת סלטי שמיר לאסוף מספר מוצרים מהשוק היות ויוצרו באותם ימים בהם עלה חשד להימצאות חיידק ליסטריה מונוציטוגנס במוצרים שנחסמו. במידה וקיים לקוח אשר מוצר המופיע ברשימה נמצא ברשותו, הוא מתבקש שלא לצרוך אותו ולפנות לחברה. החברה עדכנה את שירות המזון משרד הבריאות ועושה כמיטב יכולתה על מנת להימנע מתקלות מסוג זה ומתנצלת בפני לקוחותיה. לכל שאלה ,בירור ופניה, יש ליצור קשר עם שירות הלקוחות שלנו בטלפון 03-9067744 *באחת התמונות מצ״ב רשימת המוצרים הספציפיים אותם מבקשת החברה לאסוף*",https://www.facebook.com/Health.gov.il/photos/a.543605322418050/2558713014240594/?type=3,,,Photos from ‎משרד הבריאות‎'s post,,,,4.61
משרד הבריאות,Health.gov.il,1.48E+14,287869,2020-02-02 07:42:32 EET,Photo,659,216,693,4,11,4,4,4,0,,0,0,0,N/A,https://www.facebook.com/Health.gov.il/posts/2559438844168011,"חזרתם מסין ב-14 ימים האחרונים? שימו לב להנחיות החדשות של משרד הבריאות לחוזרים מסין! גם אם אין כל סימני מחלה, ההנחיות תקפות למשך 14 ימי החזרה הראשונים (זמן דגירת נגיף הקורונה):",https://www.facebook.com/Health.gov.il/photos/a.210611465717439/2559432737501955/?type=3,,,,,,,1.83
משרד החינוך,edu.gov.il,1.12E+14,273448,2020-02-02 10:12:36 EET,Photo,32,3,9,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2874443659287071,"מורים יקרים, כבר נכנסתם למאגר פעולות המקדמות הוראה איכותית?? אנחנו יודעים שלא קיימת דרך אחת בלבד להוראה איכותית, כל צוות יכול להתאים את האופן שישרת צרכי ההקשר הספציפיים, התלמיד, הכיתה, בית הספר והקהילה. היכנסו ותיהנו מהמאגר בפורטל עובדי הוראה >> http://bit.ly/2GythxG:=:https://pop.education.gov.il/teaching-practices/",https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2874442489287188/?type=3,,,,,,,-3.07
משרד הבריאות,Health.gov.il,1.48E+14,287869,2020-02-02 10:36:50 EET,Photo,202,149,36,2,1,3,4,22,0,,0,0,0,N/A,https://www.facebook.com/Health.gov.il/posts/2559635627481666,"הבוקר, כמו כל יום בשבוע האחרון, התכנסה הנהלת המשרד לישיבה בנושא הקורונה. בהמשך להנחיות לבידוד בית של החוזרים מסין, הדגיש שר הבריאות יעקב ליצמן: ״אני קורא לציבור שחזר מסין להקפיד להישאר בבית, ולא להפר את הצו כדי לא לסכן את הציבור בישראל . לכולנו יש אחריות על בריאות הציבור וכולנו צריכים לקחת חלק במאמץ"".",https://www.facebook.com/Health.gov.il/photos/a.210611465717439/2559635627481666/?type=3,,,Timeline Photos,,,,-2.08
משרד האוצר,Israeli.Ministry.of.Finance,1.22E+14,45997,2020-02-02 14:59:14 EET,Photo,25,4,2,3,0,4,0,0,0,,0,0,0,N/A,https://www.facebook.com/Israeli.Ministry.of.Finance/posts/3772546192757358,דירוג האשראי של ישראל בשיא! חברת דירוג האשראי הבינלאומית S&P אישררה את דירוג האשראי של מדינת ישראל ברמת AA- השמירה העקבית מאז 2018 של דירוג השיא לכלכלת ישראל היא הבעת אמון בינלאומית חשובה בחוזקה של כלכלת ישראל.,https://www.facebook.com/Israeli.Ministry.of.Finance/photos/a.163541316991215/3772545776090733/?type=3,,‎'‎ש משרז האוצר דירוג האשראי של ישראל נותר בשיא! S&P קבעו AA-‎'‎,,,,,-1.68
משרד החינוך,edu.gov.il,1.12E+14,273448,2020-02-02 16:08:27 EET,Photo,35,0,4,1,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2881382255259878,"פרס ישראל יוצא לדרך!! ברכות לפרופ' דני זמיר זוכה פרס ישראל תש""ף בתחום חקר החקלאות, חקר מדעי הסביבה. 💐💐💐💐💐💐💐💐💐💐💐💐💐 בנימוקיה ציינה הוועדה כי: ""פרס ישראל בתחום חקר החקלאות, חקר מדעי הסביבה לשנת תש""ף מוענק לפרופ' דני זמיר על טיפוח והשבחה של זני עגבניות וגידולים אחרים. פרופ' זמיר פיתח אוכלוסייה של עגבניות תרבותיות שמכילות קטעי DNA ממני בר של עגבנייה המקנים עמידות לעקות כמו יובש ומלח ועמידות כנגד מחלות צמחים. פרופ' זמיר הינו חוקר מוביל בתחום, בעל הכרה בינלאומית ושיתופי פעולה בינלאומיים, הוא תרם ותורם רבות לחקלאות ישראל והעולם.""",https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2881381445259959/?type=3,,,,,,,-3.38
משרד הביטחון,MODIsrael,3.84E+14,215071,2020-02-02 17:41:39 EET,Photo,189,80,70,2,2,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/MODIsrael/posts/2760619547310613,#job #in #berlin,https://www.facebook.com/MODIsrael/photos/a.478080698897854/2760619547310613/?type=3,,,Timeline Photos,,,,1.41
משרד החינוך,edu.gov.il,1.12E+14,273448,2020-02-02 19:32:27 EET,Photo,275,93,29,6,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2866525340078903,בהצלחה לכל התלמידים והתלמידות הניגשים מחר לבגרות באזרחות!,https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2866524253412345/?type=3,,,,,,,2.99
משרד החינוך,edu.gov.il,1.12E+14,273455,2020-02-03 09:40:54 EET,Native Video,98,14,81,2,0,0,0,0,0,crosspost,4934,6647,6883,00:00:25,https://www.facebook.com/edu.gov.il/posts/2882920105106093,"בישראל לא התגלה נגיף הקורונה, אולם זה עלול להתרחש בכל יום! אנחנו מצרפים את ההנחיות בנושא הגנה מנגיפים של משרד הבריאות. בריאות לכולם!",https://www.facebook.com/edu.gov.il/videos/994101480973704/,,,הגנה מנגיפים- נגיף הקורונה,,,,1.97
משרד החינוך,edu.gov.il,1.12E+14,273455,2020-02-03 11:55:00 EET,Native Video,102,35,128,3,0,0,0,0,0,crosspost,5364,8432,8920,00:00:59,https://www.facebook.com/edu.gov.il/posts/2882937235104380,"הורים יקרים לקראת ט""ו בשבט שימו ❤ ⛔ אסור לתת לילדים עד גיל חמש - אגוזים, שקדים, בוטנים, גרעינים ופיצוחים. ניתן לתת אגוזים ושקדים טחונים לפירורים אם המרקם חלק לגמרי ללא שברים. ⛔ פירות יבשים דביקים: עד גיל ארבע יש להגיש בחתיכות קטנות (לאחר הוצאת הגלעין אם יש). הפירות עלולים להיות דביקים ולהידבק לקנה הנשימה. יש להקפיד על אכילה בטוחה כולל חיתוך והשגחה על לעיסה. ⛔⛔תייגו הורים לקטנטנים שחושב לכם שהמידע יגיע אליהם! ⛔⛔ למידע נוסף על ט""ו בשבט בטוח >> http://bit.ly/30UuAA3:=:https://parents.education.gov.il/prhnet/parents/safety-emergency/tu-bishvat-safety-rules",https://www.facebook.com/edu.gov.il/videos/897151087408959/,,,השקדיה פורחת - נזהרים גם בצלחת!,,,,2.71
